Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	8250.0,	47678.0,	394272,	58.0,	12378.0,	394272,	0.0,	2718.0,	420058,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	27428.0,	28637.0,	12100,	288.0,	27427.0,	12100,	0.0,	27426.0,	3539587,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	4191.0,	40247.0,	802816,	95.0,	12638.0,	802816,	0.0,	3262.0,	605375,	
Conv4,	-52429.0,	8772.0,	805008,	-58.0,	-1.0,	576,	13905.0,	14207.0,	3025,	576.0,	13904.0,	3025,	0.0,	14399.0,	1771200,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	2239.0,	42381.0,	401408,	191.0,	3326.0,	401408,	0.0,	1726.0,	407231,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	26596.0,	26887.0,	2916,	1152.0,	26595.0,	2916,	0.0,	26594.0,	3412323,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	2303.0,	42445.0,	401408,	255.0,	3390.0,	401408,	0.0,	3326.0,	814335,	
Conv8,	-38720.0,	-1.0,	387200,	-116.0,	-1.0,	1152,	7001.0,	7073.0,	729,	1152.0,	7000.0,	729,	0.0,	6999.0,	853720,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	1920.0,	21990.0,	200704,	255.0,	1919.0,	200704,	0.0,	1918.0,	431999,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	13860.0,	13927.0,	676,	2304.0,	13859.0,	676,	0.0,	13858.0,	1585187,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	3712.0,	23782.0,	200704,	383.0,	3711.0,	200704,	0.0,	3710.0,	863871,	
Conv12,	-18663.0,	-1.0,	186624,	-231.0,	-1.0,	2304,	4649.0,	4665.0,	169,	2304.0,	4648.0,	169,	0.0,	4647.0,	398632,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	2042.0,	12077.0,	100352,	383.0,	2041.0,	100352,	0.0,	2174.0,	465023,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	9232.0,	9246.0,	144,	4608.0,	9231.0,	144,	0.0,	9230.0,	681999,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	4090.0,	14125.0,	100352,	639.0,	4089.0,	100352,	0.0,	4222.0,	929919,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	9232.0,	9246.0,	144,	4608.0,	9231.0,	144,	0.0,	9230.0,	681999,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	4090.0,	14125.0,	100352,	639.0,	4089.0,	100352,	0.0,	4222.0,	929919,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	9232.0,	9246.0,	144,	4608.0,	9231.0,	144,	0.0,	9230.0,	681999,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	4090.0,	14125.0,	100352,	639.0,	4089.0,	100352,	0.0,	4222.0,	929919,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	9232.0,	9246.0,	144,	4608.0,	9231.0,	144,	0.0,	9230.0,	681999,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	4090.0,	14125.0,	100352,	639.0,	4089.0,	100352,	0.0,	4222.0,	929919,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	9232.0,	9246.0,	144,	4608.0,	9231.0,	144,	0.0,	9230.0,	681999,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	4090.0,	14125.0,	100352,	639.0,	4089.0,	100352,	0.0,	4222.0,	929919,	
Conv24,	-8653.0,	-1.0,	86528,	-461.0,	-1.0,	4608,	4644.0,	4647.0,	36,	4608.0,	4643.0,	36,	0.0,	4642.0,	175139,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	3936.0,	8953.0,	50176,	639.0,	3935.0,	50176,	0.0,	4222.0,	729215,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	9225.0,	9225.0,	9,	9216.0,	9224.0,	9,	0.0,	9223.0,	101384,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	4128.0,	1048576,	8032.0,	13049.0,	50176,	1151.0,	8031.0,	50176,	0.0,	8318.0,	1458303,	
