Layer,	Cycles,	% Utilization,
Conv1,	12379,	23.760092911715013,
Conv2,	27428,	0.7749891508880392,
Conv3,	12639,	47.400182922157526,
Conv4,	14400,	0.738525390625,
Conv5,	3327,	89.24933048639258,
Conv6,	26596,	0.7698030681577834,
Conv7,	3391,	93.53778037646528,
Conv8,	7001,	0.7288399832589286,
Conv9,	1920,	80.59543850149818,
Conv10,	13860,	0.6856486604485352,
Conv11,	3712,	83.92957329139719,
Conv12,	4649,	0.5102318453501506,
Conv13,	2175,	70.96414219647988,
Conv14,	9232,	0.4386596878046799,
Conv15,	4223,	73.6791402503774,
Conv16,	9232,	0.4386596878046799,
Conv17,	4223,	73.6791402503774,
Conv18,	9232,	0.4386596878046799,
Conv19,	4223,	73.6791402503774,
Conv20,	9232,	0.4386596878046799,
Conv21,	4223,	73.6791402503774,
Conv22,	9232,	0.4386596878046799,
Conv23,	4223,	73.6791402503774,
Conv24,	4644,	0.21724203858631275,
Conv25,	4223,	36.71528127219986,
Conv26,	9225,	0.05486017708559194,
Conv27,	8319,	37.48631239481909,
