IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	0.49239419715075927,	0.003757240515576893,	1.9972168588773505,	6.707978917705996,	6.858216354433022,
524288,	524288,	262144,	Conv2,	0.8405358885338449,	0.0006030630577809793,	0.02533702430260364,	8.210402000159142,	0.9121328748937311,
524288,	524288,	262144,	Conv3,	0.8681212923373711,	0.004429190267027403,	2.1348178041337666,	7.818074470086746,	6.944970338698969,
524288,	524288,	262144,	Conv4,	4.8050439784598264,	0.002094385519651227,	0.010999160064140557,	7.2612345966308025,	0.7919395246181201,
524288,	524288,	262144,	Conv5,	0.4565573938303424,	0.01863499566654459,	0.9387197084642279,	8.238997459071026,	7.304918301285478,
524288,	524288,	262144,	Conv6,	0.8673765730880929,	0.0024892822569492464,	0.0063009957129027796,	8.1710690084359,	0.9073433826580003,
524288,	524288,	262144,	Conv7,	0.4645103355540049,	0.018959605532816528,	0.47753580673792717,	8.382515596196507,	7.432165368864078,
524288,	524288,	262144,	Conv8,	2.167005878083147,	0.008198004582912284,	0.00518779977512418,	6.988798906932722,	0.7470431676178819,
524288,	524288,	262144,	Conv9,	0.22611885480462007,	0.07383472809946778,	0.45223770960924015,	8.223342842078225,	7.235803353747842,
524288,	524288,	262144,	Conv10,	0.9134451716259637,	0.010485977735502134,	0.003076614995312258,	7.995558023320378,	0.8860651186499303,
524288,	524288,	262144,	Conv11,	0.23135027716524906,	0.07554294764579561,	0.23135027716524906,	8.413595794050485,	7.40320886928797,
524288,	524288,	262144,	Conv12,	2.1942439887047547,	0.03285889500556205,	0.0024102227673350636,	6.793576542399954,	0.6941441569924983,
524288,	524288,	262144,	Conv13,	0.10592290950236752,	0.2766965799245519,	0.21184581900473504,	7.937733136585582,	6.779066208151521,
524288,	524288,	262144,	Conv14,	0.9763197322592571,	0.04483100811394548,	0.0014009690035607961,	7.352285330687058,	0.8069581460510187,
524288,	524288,	262144,	Conv15,	0.10705697856769472,	0.2796590460543862,	0.10705697856769472,	8.022718883685204,	6.851646628332462,
524288,	524288,	262144,	Conv16,	0.9763197322592571,	0.04483100811394548,	0.0014009690035607961,	7.352285330687058,	0.8069581460510187,
524288,	524288,	262144,	Conv17,	0.10705697856769472,	0.2796590460543862,	0.10705697856769472,	8.022718883685204,	6.851646628332462,
524288,	524288,	262144,	Conv18,	0.9763197322592571,	0.04483100811394548,	0.0014009690035607961,	7.352285330687058,	0.8069581460510187,
524288,	524288,	262144,	Conv19,	0.10705697856769472,	0.2796590460543862,	0.10705697856769472,	8.022718883685204,	6.851646628332462,
524288,	524288,	262144,	Conv20,	0.9763197322592571,	0.04483100811394548,	0.0014009690035607961,	7.352285330687058,	0.8069581460510187,
524288,	524288,	262144,	Conv21,	0.10705697856769472,	0.2796590460543862,	0.10705697856769472,	8.022718883685204,	6.851646628332462,
524288,	524288,	262144,	Conv22,	0.9763197322592571,	0.04483100811394548,	0.0014009690035607961,	7.352285330687058,	0.8069581460510187,
524288,	524288,	262144,	Conv23,	0.10705697856769472,	0.2796590460543862,	0.10705697856769472,	8.022718883685204,	6.851646628332462,
524288,	524288,	262144,	Conv24,	2.041861071288935,	0.12010947478170207,	0.0009383552717320474,	5.915391632998827,	0.5404926365176593,
524288,	524288,	262144,	Conv25,	0.038275292846877466,	0.7998755076571945,	0.07655058569375493,	6.4115021160647,	4.899237484400316,
524288,	524288,	262144,	Conv26,	1.4348298541607092,	0.26354017729482415,	0.0002573634543894767,	3.1954246496997425,	0.29648269945667716,
524288,	524288,	262144,	Conv27,	0.040029422135849216,	0.8365332299410121,	0.040029422135849216,	6.7053366712459255,	5.1237660333887,
