Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-11323.0,	-1.0,	113229,	-87.0,	-1.0,	864,	107660.0,	218633.0,	459272,	24.0,	198919.0,	1577088,	0.0,	199019.0,	1542540,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	436212.0,	437421.0,	12100,	17.0,	436211.0,	435600,	0.0,	436202.0,	3920976,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	108248.0,	422246.0,	987112,	24.0,	402175.0,	3211264,	0.0,	402159.0,	3614976,	
Conv4,	-52429.0,	174408.0,	1321488,	-58.0,	-1.0,	576,	222290.0,	222592.0,	3025,	17.0,	222289.0,	217800,	0.0,	222335.0,	1996992,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	254232.0,	419532.0,	412664,	24.0,	404479.0,	3211264,	0.0,	404463.0,	3621888,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	422352.0,	422643.0,	2916,	17.0,	422351.0,	419904,	0.0,	422342.0,	3781440,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	507032.0,	824012.0,	412664,	24.0,	808959.0,	6422528,	0.0,	808943.0,	7243776,	
Conv8,	-30452.0,	-1.0,	304512,	-116.0,	-1.0,	1152,	109998.0,	110070.0,	729,	17.0,	109997.0,	104976,	0.0,	110015.0,	982080,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	413696.0,	433766.0,	200704,	24.0,	413695.0,	3211264,	0.0,	413679.0,	3649536,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	199584.0,	199651.0,	676,	17.0,	199583.0,	194688,	0.0,	199574.0,	1756800,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	827392.0,	847462.0,	200704,	24.0,	827391.0,	6422528,	0.0,	827375.0,	7299072,	
Conv12,	-15386.0,	-1.0,	153856,	-231.0,	-1.0,	2304,	54716.0,	54732.0,	169,	17.0,	54715.0,	48672,	0.0,	54719.0,	476352,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	450560.0,	460595.0,	100352,	24.0,	450559.0,	3211264,	0.0,	450543.0,	3760128,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	92736.0,	92750.0,	144,	17.0,	92735.0,	82944,	0.0,	92726.0,	755712,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	901120.0,	911155.0,	100352,	24.0,	901119.0,	6422528,	0.0,	901103.0,	7520256,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	92736.0,	92750.0,	144,	17.0,	92735.0,	82944,	0.0,	92726.0,	755712,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	901120.0,	911155.0,	100352,	24.0,	901119.0,	6422528,	0.0,	901103.0,	7520256,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	92736.0,	92750.0,	144,	17.0,	92735.0,	82944,	0.0,	92726.0,	755712,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	901120.0,	911155.0,	100352,	24.0,	901119.0,	6422528,	0.0,	901103.0,	7520256,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	92736.0,	92750.0,	144,	17.0,	92735.0,	82944,	0.0,	92726.0,	755712,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	901120.0,	911155.0,	100352,	24.0,	901119.0,	6422528,	0.0,	901103.0,	7520256,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	92736.0,	92750.0,	144,	17.0,	92735.0,	82944,	0.0,	92726.0,	755712,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	901120.0,	911155.0,	100352,	24.0,	901119.0,	6422528,	0.0,	901103.0,	7520256,	
Conv24,	-7834.0,	-1.0,	78336,	-461.0,	-1.0,	4608,	30528.0,	30531.0,	36,	17.0,	30527.0,	20736,	0.0,	30524.0,	226944,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	598016.0,	603033.0,	50176,	24.0,	598015.0,	3211264,	0.0,	597999.0,	4202496,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	29952.0,	29952.0,	9,	17.0,	29951.0,	10368,	0.0,	29942.0,	111744,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	524287.0,	1048576,	1196032.0,	1201049.0,	50176,	24.0,	1196031.0,	6422528,	0.0,	1196015.0,	8404992,	
