Layer,	Cycles,	% Utilization,
Conv1,	12407,	21.09375,
Conv2,	61081,	1.406904868125931,
Conv3,	12672,	50.0,
Conv4,	28386,	1.5625,
Conv5,	6656,	100.0,
Conv6,	54810,	1.5625,
Conv7,	13312,	100.0,
Conv8,	15444,	1.5625,
Conv9,	7808,	100.0,
Conv10,	28980,	1.5625,
Conv11,	15616,	100.0,
Conv12,	10728,	1.5625,
Conv13,	12416,	100.0,
Conv14,	19656,	1.5625,
Conv15,	24832,	100.0,
Conv16,	19656,	1.5625,
Conv17,	24832,	100.0,
Conv18,	19656,	1.5625,
Conv19,	24832,	100.0,
Conv20,	19656,	1.5625,
Conv21,	24832,	100.0,
Conv22,	19656,	1.5625,
Conv23,	24832,	100.0,
Conv24,	11880,	1.5625,
Conv25,	30848,	100.0,
Conv26,	19872,	1.5625,
Conv27,	61696,	100.0,
