Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	8278.0,	47706.0,	394272,	86.0,	12406.0,	394272,	0.0,	12347.0,	345879,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	61081.0,	62290.0,	12100,	129.0,	61080.0,	60500,	0.0,	61047.0,	3545876,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	4224.0,	40280.0,	802816,	128.0,	12671.0,	802816,	0.0,	12575.0,	416032,	
Conv4,	-52429.0,	23913.0,	1315712,	-58.0,	-1.0,	576,	28386.0,	28688.0,	3025,	129.0,	28385.0,	27225,	0.0,	28375.0,	1802952,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	4480.0,	44621.0,	401408,	192.0,	6655.0,	401408,	0.0,	6527.0,	416000,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	54810.0,	55101.0,	2916,	129.0,	54809.0,	52488,	0.0,	54744.0,	3414024,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	7808.0,	54087.0,	462784,	192.0,	13311.0,	802816,	0.0,	13183.0,	832000,	
Conv8,	-30452.0,	-1.0,	304512,	-116.0,	-1.0,	1152,	15444.0,	15516.0,	729,	129.0,	15443.0,	13122,	0.0,	15405.0,	886824,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	7808.0,	27878.0,	200704,	192.0,	7807.0,	401408,	0.0,	7679.0,	440960,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	28980.0,	29047.0,	676,	129.0,	28979.0,	24336,	0.0,	28914.0,	1586448,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	15616.0,	35686.0,	200704,	192.0,	15615.0,	802816,	0.0,	15487.0,	881920,	
Conv12,	-15386.0,	-1.0,	153856,	-231.0,	-1.0,	2304,	10728.0,	10744.0,	169,	129.0,	10727.0,	6084,	0.0,	10675.0,	430488,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	12416.0,	22451.0,	100352,	192.0,	12415.0,	401408,	0.0,	12287.0,	540800,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	19656.0,	19670.0,	144,	129.0,	19655.0,	10368,	0.0,	19590.0,	683136,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	24832.0,	34867.0,	100352,	192.0,	24831.0,	802816,	0.0,	24703.0,	1081600,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	19656.0,	19670.0,	144,	129.0,	19655.0,	10368,	0.0,	19590.0,	683136,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	24832.0,	34867.0,	100352,	192.0,	24831.0,	802816,	0.0,	24703.0,	1081600,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	19656.0,	19670.0,	144,	129.0,	19655.0,	10368,	0.0,	19590.0,	683136,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	24832.0,	34867.0,	100352,	192.0,	24831.0,	802816,	0.0,	24703.0,	1081600,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	19656.0,	19670.0,	144,	129.0,	19655.0,	10368,	0.0,	19590.0,	683136,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	24832.0,	34867.0,	100352,	192.0,	24831.0,	802816,	0.0,	24703.0,	1081600,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	19656.0,	19670.0,	144,	129.0,	19655.0,	10368,	0.0,	19590.0,	683136,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	24832.0,	34867.0,	100352,	192.0,	24831.0,	802816,	0.0,	24703.0,	1081600,	
Conv24,	-7834.0,	-1.0,	78336,	-461.0,	-1.0,	4608,	11880.0,	11883.0,	36,	129.0,	11879.0,	2592,	0.0,	11820.0,	205776,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	30848.0,	35865.0,	50176,	192.0,	30847.0,	401408,	0.0,	30719.0,	940160,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	19872.0,	19872.0,	9,	129.0,	19871.0,	1296,	0.0,	19806.0,	102672,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	30840.0,	1048576,	61696.0,	66713.0,	50176,	192.0,	61695.0,	802816,	0.0,	61567.0,	1880320,	
