Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-2166.0,	-1.0,	21654,	75707.0,	127342.0,	394783,	32.0,	114078.0,	1182786,	0.0,	114066.0,	1068972,	
Conv2,	-40141.0,	-1.0,	401408,	-21802.0,	-1.0,	218016,	653833.0,	655042.0,	12100,	32.0,	653832.0,	3701736,	0.0,	653812.0,	3934458,	
Conv3,	-40141.0,	-1.0,	401408,	-2711.0,	-1.0,	27104,	56721.0,	198102.0,	805885,	32.0,	174048.0,	2007040,	0.0,	174016.0,	2132480,	
Conv4,	-52429.0,	134928.0,	794146,	-10944.0,	-1.0,	109440,	327781.0,	328083.0,	3025,	32.0,	327780.0,	1850760,	0.0,	327763.0,	1968120,	
Conv5,	-20071.0,	-1.0,	200704,	-2068.0,	-1.0,	20672,	89075.0,	151332.0,	403455,	32.0,	137200.0,	1806336,	0.0,	137168.0,	1919232,	
Conv6,	-40141.0,	-1.0,	401408,	-21082.0,	-1.0,	210816,	631585.0,	631876.0,	2916,	32.0,	631584.0,	3565728,	0.0,	631564.0,	3794040,	
Conv7,	-40141.0,	-1.0,	401408,	-4135.0,	-1.0,	41344,	177975.0,	288532.0,	403455,	32.0,	274400.0,	3612672,	0.0,	274368.0,	3838464,	
Conv8,	-38720.0,	-1.0,	387200,	-5300.0,	-1.0,	52992,	158473.0,	158545.0,	729,	32.0,	158472.0,	887760,	0.0,	158447.0,	949104,	
Conv9,	-10036.0,	-1.0,	100352,	-3892.0,	-1.0,	38912,	118777.0,	138847.0,	200704,	32.0,	118776.0,	1705984,	0.0,	118744.0,	1812608,	
Conv10,	-20071.0,	-1.0,	200704,	-9908.0,	-1.0,	99072,	295489.0,	295556.0,	676,	32.0,	295488.0,	1647936,	0.0,	295468.0,	1761840,	
Conv11,	-20071.0,	-1.0,	200704,	-7783.0,	-1.0,	77824,	237553.0,	257623.0,	200704,	32.0,	237552.0,	3411968,	0.0,	237520.0,	3625216,	
Conv12,	-18663.0,	-1.0,	186624,	-2535.0,	-1.0,	25344,	75025.0,	75041.0,	169,	32.0,	75024.0,	404640,	0.0,	74999.0,	441648,	
Conv13,	-5018.0,	-1.0,	50176,	-13415.0,	-1.0,	134144,	116081.0,	126116.0,	100352,	32.0,	116080.0,	1655040,	0.0,	116060.0,	1863936,	
Conv14,	-10036.0,	-1.0,	100352,	-4148.0,	-1.0,	41472,	124417.0,	124431.0,	144,	32.0,	124416.0,	705024,	0.0,	124384.0,	749088,	
Conv15,	-10036.0,	-1.0,	100352,	-26829.0,	-1.0,	268288,	232161.0,	242196.0,	100352,	32.0,	232160.0,	3310080,	0.0,	232140.0,	3727872,	
Conv16,	-10036.0,	-1.0,	100352,	-4148.0,	-1.0,	41472,	124417.0,	124431.0,	144,	32.0,	124416.0,	705024,	0.0,	124384.0,	749088,	
Conv17,	-10036.0,	-1.0,	100352,	-26829.0,	-1.0,	268288,	232161.0,	242196.0,	100352,	32.0,	232160.0,	3310080,	0.0,	232140.0,	3727872,	
Conv18,	-10036.0,	-1.0,	100352,	-4148.0,	-1.0,	41472,	124417.0,	124431.0,	144,	32.0,	124416.0,	705024,	0.0,	124384.0,	749088,	
Conv19,	-10036.0,	-1.0,	100352,	-26829.0,	-1.0,	268288,	232161.0,	242196.0,	100352,	32.0,	232160.0,	3310080,	0.0,	232140.0,	3727872,	
Conv20,	-10036.0,	-1.0,	100352,	-4148.0,	-1.0,	41472,	124417.0,	124431.0,	144,	32.0,	124416.0,	705024,	0.0,	124384.0,	749088,	
Conv21,	-10036.0,	-1.0,	100352,	-26829.0,	-1.0,	268288,	232161.0,	242196.0,	100352,	32.0,	232160.0,	3310080,	0.0,	232140.0,	3727872,	
Conv22,	-10036.0,	-1.0,	100352,	-4148.0,	-1.0,	41472,	124417.0,	124431.0,	144,	32.0,	124416.0,	705024,	0.0,	124384.0,	749088,	
Conv23,	-10036.0,	-1.0,	100352,	-26829.0,	-1.0,	268288,	232161.0,	242196.0,	100352,	32.0,	232160.0,	3310080,	0.0,	232140.0,	3727872,	
Conv24,	-8653.0,	-1.0,	86528,	-1383.0,	-1.0,	13824,	38017.0,	38020.0,	36,	32.0,	38016.0,	162432,	0.0,	37996.0,	194400,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	104593.0,	2048016,	136609.0,	141626.0,	50176,	32.0,	136608.0,	1630240,	0.0,	136591.0,	2255360,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	23617.0,	23617.0,	9,	32.0,	23616.0,	51840,	0.0,	23591.0,	101952,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	238415.0,	4194304,	273217.0,	278234.0,	50176,	32.0,	273216.0,	3260480,	0.0,	273199.0,	4510720,	
