Layer,	Cycles,	% Utilization,
Conv1,	114078,	85.34791573528638,
Conv2,	653832,	99.92566897918731,
Conv3,	174048,	100.0,
Conv4,	327780,	99.66021416803954,
Conv5,	137200,	100.0,
Conv6,	631584,	99.6922024623803,
Conv7,	274400,	100.0,
Conv8,	158472,	99.1850295320309,
Conv9,	118776,	100.0,
Conv10,	295488,	98.68421052631578,
Conv11,	237552,	100.0,
Conv12,	75024,	96.55710172744722,
Conv13,	116080,	94.34527911784976,
Conv14,	124416,	100.0,
Conv15,	232160,	94.34527911784976,
Conv16,	124416,	100.0,
Conv17,	232160,	94.34527911784976,
Conv18,	124416,	100.0,
Conv19,	232160,	94.34527911784976,
Conv20,	124416,	100.0,
Conv21,	232160,	94.34527911784976,
Conv22,	124416,	100.0,
Conv23,	232160,	94.34527911784976,
Conv24,	38016,	79.54545454545455,
Conv25,	136608,	76.80955727336612,
Conv26,	23616,	56.25,
Conv27,	273216,	76.80955727336612,
