IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	1.048685163185975,	0.1522131856236073,	2.7750613309339873,	7.514160592151046,	8.31419714468477,
524288,	524288,	262144,	Conv2,	0.5774134292697031,	0.31360951001391,	0.017405488914429727,	5.659600421759451,	5.324836769598797,
524288,	524288,	262144,	Conv3,	1.6848679709372363,	0.11376619669832902,	3.3826177474259476,	8.950861095604068,	8.424339854686181,
524288,	524288,	262144,	Conv4,	2.0870458750315364,	0.2876124800269111,	0.00794981498612396,	5.172294172062904,	4.863867630981415,
524288,	524288,	262144,	Conv5,	1.170947999743295,	0.12060465686131515,	2.3538386142599603,	11.197190247545258,	10.538531997689656,
524288,	524288,	262144,	Conv6,	0.5973182226044876,	0.31370634969055844,	0.004339175943465716,	5.645750033109281,	5.306008627757929,
524288,	524288,	262144,	Conv7,	1.2212989810541177,	0.125790679489949,	1.2275270557666738,	11.67867150633,	10.991690829487059,
524288,	524288,	262144,	Conv8,	1.9628418624692672,	0.26863356398752947,	0.0036955364611056195,	4.811314728917953,	4.5003421793019545,
524288,	524288,	262144,	Conv9,	0.6740326296487846,	0.26135959108830426,	1.3480652592975693,	12.174714373031172,	11.45855470402934,
524288,	524288,	262144,	Conv10,	0.6358898319852231,	0.313889496145767,	0.0021417686066147698,	5.5820319554410744,	5.221150281819996,
524288,	524288,	262144,	Conv11,	0.722752382118447,	0.28025092367858145,	0.722752382118447,	13.054714902014448,	12.286790496013598,
524288,	524288,	262144,	Conv12,	1.9916332280372235,	0.2704687099803637,	0.0018035516093229745,	4.713224622214633,	4.3182788354819435,
524288,	524288,	262144,	Conv13,	0.35960467566347265,	0.9613920920798962,	0.7192093513269453,	13.358579813804818,	11.861450143695667,
524288,	524288,	262144,	Conv14,	0.746294629909197,	0.30841767868696407,	0.0010708947176630698,	5.570794321283289,	5.24310053767839,
524288,	524288,	262144,	Conv15,	0.3730210946938017,	0.997260477650776,	0.3730210946938017,	13.856972400334541,	12.30398661834402,
524288,	524288,	262144,	Conv16,	0.746294629909197,	0.30841767868696407,	0.0010708947176630698,	5.570794321283289,	5.24310053767839,
524288,	524288,	262144,	Conv17,	0.3730210946938017,	0.997260477650776,	0.3730210946938017,	13.856972400334541,	12.30398661834402,
524288,	524288,	262144,	Conv18,	0.746294629909197,	0.30841767868696407,	0.0010708947176630698,	5.570794321283289,	5.24310053767839,
524288,	524288,	262144,	Conv19,	0.3730210946938017,	0.997260477650776,	0.3730210946938017,	13.856972400334541,	12.30398661834402,
524288,	524288,	262144,	Conv20,	0.746294629909197,	0.30841767868696407,	0.0010708947176630698,	5.570794321283289,	5.24310053767839,
524288,	524288,	262144,	Conv21,	0.3730210946938017,	0.997260477650776,	0.3730210946938017,	13.856972400334541,	12.30398661834402,
524288,	524288,	262144,	Conv22,	0.746294629909197,	0.30841767868696407,	0.0010708947176630698,	5.570794321283289,	5.24310053767839,
524288,	524288,	262144,	Conv23,	0.3730210946938017,	0.997260477650776,	0.3730210946938017,	13.856972400334541,	12.30398661834402,
524288,	524288,	262144,	Conv24,	1.8539198251665845,	0.2961883744348981,	0.0007713238917575472,	4.165149015490755,	3.480213399610053,
524288,	524288,	262144,	Conv25,	0.12928293525031564,	10.553791450877329,	0.2585658705006313,	11.622272036278375,	8.400917265723635,
524288,	524288,	262144,	Conv26,	1.7522612187881963,	0.3218438973284442,	0.0003143006809848088,	3.5603981141959142,	1.8103719224724988,
524288,	524288,	262144,	Conv27,	0.15174361812479775,	12.684527751819829,	0.15174361812479775,	13.641441588566002,	9.860431920112017,
