Layer,	Cycles,	% Utilization,
Conv1,	17014,	83.94068682867785,
Conv2,	169940,	92.55215075909145,
Conv3,	21854,	100.0,
Conv4,	82521,	98.83864788962809,
Conv5,	15631,	100.0,
Conv6,	158472,	99.1850295320309,
Conv7,	31262,	100.0,
Conv8,	40770,	95.88369205298012,
Conv9,	11526,	94.807391983342,
Conv10,	75024,	96.55710172744722,
Conv11,	23052,	94.807391983342,
Conv12,	19908,	89.01729204339965,
Conv13,	11008,	78.09547601744185,
Conv14,	38016,	79.54545454545455,
Conv15,	22016,	78.09547601744185,
Conv16,	38016,	79.54545454545455,
Conv17,	22016,	78.09547601744185,
Conv18,	38016,	79.54545454545455,
Conv19,	22016,	78.09547601744185,
Conv20,	38016,	79.54545454545455,
Conv21,	22016,	78.09547601744185,
Conv22,	38016,	79.54545454545455,
Conv23,	22016,	78.09547601744185,
Conv24,	11808,	56.25,
Conv25,	9600,	76.5625,
Conv26,	19728,	14.0625,
Conv27,	19200,	76.5625,
