Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	11264.0,	50692.0,	394272,	81.0,	17014.0,	1181793,	0.0,	16954.0,	507734,	
Conv2,	-40141.0,	-1.0,	401408,	-5472.0,	-1.0,	54720,	169941.0,	171150.0,	12100,	128.0,	169940.0,	3931300,	0.0,	169904.0,	3595190,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	7136.0,	49260.0,	802816,	96.0,	21854.0,	1605632,	0.0,	21758.0,	815360,	
Conv4,	-52429.0,	53763.0,	793108,	-2765.0,	-1.0,	27648,	82522.0,	82824.0,	3025,	128.0,	82521.0,	1762434,	0.0,	82440.0,	1798128,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	10208.0,	50350.0,	401408,	128.0,	15631.0,	602112,	0.0,	15503.0,	611520,	
Conv6,	-40141.0,	-1.0,	401408,	-5300.0,	-1.0,	52992,	158473.0,	158764.0,	2916,	128.0,	158472.0,	3393576,	0.0,	158372.0,	3466044,	
Conv7,	-40141.0,	-1.0,	401408,	-2253.0,	-1.0,	22528,	20097.0,	61058.0,	409599,	128.0,	31262.0,	1204224,	0.0,	31134.0,	1223040,	
Conv8,	-38720.0,	-1.0,	387200,	-1383.0,	-1.0,	13824,	40771.0,	40843.0,	729,	128.0,	40770.0,	835380,	0.0,	40681.0,	867672,	
Conv9,	-10036.0,	-1.0,	100352,	-3431.0,	-1.0,	34304,	11527.0,	31597.0,	200704,	128.0,	11526.0,	500224,	0.0,	11446.0,	534656,	
Conv10,	-20071.0,	-1.0,	200704,	-2535.0,	-1.0,	25344,	75025.0,	75092.0,	676,	128.0,	75024.0,	1545552,	0.0,	74924.0,	1608588,	
Conv11,	-20071.0,	-1.0,	200704,	-6861.0,	-1.0,	68608,	23053.0,	43123.0,	200704,	128.0,	23052.0,	1000448,	0.0,	22972.0,	1069312,	
Conv12,	-18663.0,	-1.0,	186624,	-692.0,	-1.0,	6912,	19909.0,	19925.0,	169,	128.0,	19908.0,	361512,	0.0,	19803.0,	403308,	
Conv13,	-5018.0,	-1.0,	50176,	-13184.0,	-1.0,	131840,	11009.0,	21044.0,	100352,	128.0,	11008.0,	450624,	0.0,	10940.0,	583680,	
Conv14,	-10036.0,	-1.0,	100352,	-1383.0,	-1.0,	13824,	38017.0,	38031.0,	144,	128.0,	38016.0,	618624,	0.0,	37936.0,	691416,	
Conv15,	-10036.0,	-1.0,	100352,	-26368.0,	-1.0,	263680,	22017.0,	32052.0,	100352,	128.0,	22016.0,	901248,	0.0,	21948.0,	1167360,	
Conv16,	-10036.0,	-1.0,	100352,	-1383.0,	-1.0,	13824,	38017.0,	38031.0,	144,	128.0,	38016.0,	618624,	0.0,	37936.0,	691416,	
Conv17,	-10036.0,	-1.0,	100352,	-26368.0,	-1.0,	263680,	22017.0,	32052.0,	100352,	128.0,	22016.0,	901248,	0.0,	21948.0,	1167360,	
Conv18,	-10036.0,	-1.0,	100352,	-1383.0,	-1.0,	13824,	38017.0,	38031.0,	144,	128.0,	38016.0,	618624,	0.0,	37936.0,	691416,	
Conv19,	-10036.0,	-1.0,	100352,	-26368.0,	-1.0,	263680,	22017.0,	32052.0,	100352,	128.0,	22016.0,	901248,	0.0,	21948.0,	1167360,	
Conv20,	-10036.0,	-1.0,	100352,	-1383.0,	-1.0,	13824,	38017.0,	38031.0,	144,	128.0,	38016.0,	618624,	0.0,	37936.0,	691416,	
Conv21,	-10036.0,	-1.0,	100352,	-26368.0,	-1.0,	263680,	22017.0,	32052.0,	100352,	128.0,	22016.0,	901248,	0.0,	21948.0,	1167360,	
Conv22,	-10036.0,	-1.0,	100352,	-1383.0,	-1.0,	13824,	38017.0,	38031.0,	144,	128.0,	38016.0,	618624,	0.0,	37936.0,	691416,	
Conv23,	-10036.0,	-1.0,	100352,	-26368.0,	-1.0,	263680,	22017.0,	32052.0,	100352,	128.0,	22016.0,	901248,	0.0,	21948.0,	1167360,	
Conv24,	-8653.0,	-1.0,	86528,	-461.0,	-1.0,	4608,	11809.0,	11812.0,	36,	128.0,	11808.0,	95904,	0.0,	11708.0,	175176,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	9601.0,	14618.0,	50176,	128.0,	9600.0,	420616,	0.0,	9487.0,	558080,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	19729.0,	19729.0,	9,	128.0,	19728.0,	12960,	0.0,	19655.0,	101520,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	9532.0,	1048576,	19201.0,	24218.0,	50176,	128.0,	19200.0,	841232,	0.0,	19087.0,	1116160,	
