Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	8250.0,	47678.0,	394272,	58.0,	12378.0,	394272,	0.0,	5295.0,	506443,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	54724.0,	55933.0,	12100,	288.0,	54723.0,	12100,	0.0,	54722.0,	3594243,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	4191.0,	40247.0,	802816,	95.0,	12638.0,	802816,	0.0,	6334.0,	809151,	
Conv4,	-52429.0,	17905.0,	792865,	-58.0,	-1.0,	576,	27665.0,	27967.0,	3025,	576.0,	27664.0,	3025,	0.0,	28223.0,	1798848,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	4223.0,	44364.0,	401408,	127.0,	6398.0,	401408,	0.0,	6334.0,	809151,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	53028.0,	53319.0,	2916,	1152.0,	53027.0,	2916,	0.0,	53026.0,	3465251,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	8256.0,	48397.0,	401408,	191.0,	12607.0,	401408,	0.0,	12606.0,	1618239,	
Conv8,	-38720.0,	-1.0,	387200,	-116.0,	-1.0,	1152,	13849.0,	13921.0,	729,	1152.0,	13848.0,	729,	0.0,	13847.0,	867480,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	6690.0,	26760.0,	200704,	191.0,	6689.0,	200704,	0.0,	6718.0,	834111,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	25380.0,	25447.0,	676,	2304.0,	25379.0,	676,	0.0,	25378.0,	1608227,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	13346.0,	33416.0,	200704,	319.0,	13345.0,	200704,	0.0,	13374.0,	1668159,	
Conv12,	-18663.0,	-1.0,	186624,	-231.0,	-1.0,	2304,	6953.0,	6969.0,	169,	2304.0,	6952.0,	169,	0.0,	6951.0,	403240,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	8238.0,	18273.0,	100352,	319.0,	8237.0,	100352,	0.0,	8254.0,	933951,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13840.0,	13854.0,	144,	4608.0,	13839.0,	144,	0.0,	13838.0,	691215,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	16430.0,	26465.0,	100352,	575.0,	16429.0,	100352,	0.0,	16446.0,	1867839,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13840.0,	13854.0,	144,	4608.0,	13839.0,	144,	0.0,	13838.0,	691215,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	16430.0,	26465.0,	100352,	575.0,	16429.0,	100352,	0.0,	16446.0,	1867839,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13840.0,	13854.0,	144,	4608.0,	13839.0,	144,	0.0,	13838.0,	691215,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	16430.0,	26465.0,	100352,	575.0,	16429.0,	100352,	0.0,	16446.0,	1867839,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13840.0,	13854.0,	144,	4608.0,	13839.0,	144,	0.0,	13838.0,	691215,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	16430.0,	26465.0,	100352,	575.0,	16429.0,	100352,	0.0,	16446.0,	1867839,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	13840.0,	13854.0,	144,	4608.0,	13839.0,	144,	0.0,	13838.0,	691215,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	16430.0,	26465.0,	100352,	575.0,	16429.0,	100352,	0.0,	16446.0,	1867839,	
Conv24,	-8653.0,	-1.0,	86528,	-461.0,	-1.0,	4608,	4644.0,	4647.0,	36,	4608.0,	4643.0,	36,	0.0,	4642.0,	175139,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	7584.0,	12601.0,	50176,	575.0,	7583.0,	50176,	0.0,	8254.0,	933951,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	9225.0,	9225.0,	9,	9216.0,	9224.0,	9,	0.0,	9223.0,	101384,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	8191.0,	1048576,	15776.0,	20793.0,	50176,	1087.0,	15775.0,	50176,	0.0,	16446.0,	1867839,	
