Layer,	Cycles,	% Utilization,
Conv1,	12379,	49.0488841814577,
Conv2,	54724,	1.5547023831958227,
Conv3,	12639,	98.66885359116023,
Conv4,	28224,	1.507194674744898,
Conv5,	6399,	98.66885359116023,
Conv6,	53028,	1.5463277036344691,
Conv7,	12608,	99.33110077734591,
Conv8,	13849,	1.480054937987435,
Conv9,	6719,	93.18603842647715,
Conv10,	25380,	1.4976799377684307,
Conv11,	13375,	93.7059433411215,
Conv12,	6953,	1.3645325760572498,
Conv13,	8255,	75.84898238756814,
Conv14,	13840,	1.1703931145675266,
Conv15,	16447,	76.20437463424182,
Conv16,	13840,	1.1703931145675266,
Conv17,	16447,	76.20437463424182,
Conv18,	13840,	1.1703931145675266,
Conv19,	16447,	76.20437463424182,
Conv20,	13840,	1.1703931145675266,
Conv21,	16447,	76.20437463424182,
Conv22,	13840,	1.1703931145675266,
Conv23,	16447,	76.20437463424182,
Conv24,	4644,	0.868968154345251,
Conv25,	8255,	75.7927013930951,
Conv26,	9225,	0.21944070834236776,
Conv27,	16447,	76.17612634523013,
