Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	8250.0,	47678.0,	394272,	58.0,	12378.0,	394272,	0.0,	10533.0,	679297,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	109156.0,	110365.0,	12100,	288.0,	109155.0,	12100,	0.0,	109154.0,	3703107,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	8255.0,	52497.0,	802816,	63.0,	25150.0,	802816,	0.0,	25118.0,	1630751,	
Conv4,	-52429.0,	33479.0,	792128,	-58.0,	-1.0,	576,	54737.0,	55039.0,	3025,	576.0,	54736.0,	3025,	0.0,	55871.0,	1854144,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	16385.0,	56527.0,	401408,	95.0,	25057.0,	401408,	0.0,	25118.0,	1630751,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	105988.0,	106279.0,	2916,	1152.0,	105987.0,	2916,	0.0,	105986.0,	3571203,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	32769.0,	72911.0,	401408,	159.0,	50145.0,	401408,	0.0,	50206.0,	3261471,	
Conv8,	-38720.0,	-1.0,	387200,	-116.0,	-1.0,	1152,	26521.0,	26593.0,	729,	1152.0,	26520.0,	729,	0.0,	27647.0,	895104,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	25542.0,	45612.0,	200704,	159.0,	25541.0,	200704,	0.0,	25630.0,	1647647,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	50692.0,	50759.0,	676,	2304.0,	50691.0,	676,	0.0,	50690.0,	1658883,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	51142.0,	71212.0,	200704,	287.0,	51141.0,	200704,	0.0,	51230.0,	3295263,	
Conv12,	-18663.0,	-1.0,	186624,	-231.0,	-1.0,	2304,	13833.0,	13849.0,	169,	2304.0,	13832.0,	169,	0.0,	13831.0,	417032,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	28662.0,	38697.0,	100352,	287.0,	28661.0,	100352,	0.0,	28702.0,	1749023,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	23056.0,	23070.0,	144,	4608.0,	23055.0,	144,	0.0,	23054.0,	709647,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	57334.0,	67369.0,	100352,	543.0,	57333.0,	100352,	0.0,	57374.0,	3498015,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	23056.0,	23070.0,	144,	4608.0,	23055.0,	144,	0.0,	23054.0,	709647,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	57334.0,	67369.0,	100352,	543.0,	57333.0,	100352,	0.0,	57374.0,	3498015,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	23056.0,	23070.0,	144,	4608.0,	23055.0,	144,	0.0,	23054.0,	709647,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	57334.0,	67369.0,	100352,	543.0,	57333.0,	100352,	0.0,	57374.0,	3498015,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	23056.0,	23070.0,	144,	4608.0,	23055.0,	144,	0.0,	23054.0,	709647,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	57334.0,	67369.0,	100352,	543.0,	57333.0,	100352,	0.0,	57374.0,	3498015,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	23056.0,	23070.0,	144,	4608.0,	23055.0,	144,	0.0,	23054.0,	709647,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	57334.0,	67369.0,	100352,	543.0,	57333.0,	100352,	0.0,	57374.0,	3498015,	
Conv24,	-8653.0,	-1.0,	86528,	-461.0,	-1.0,	4608,	9220.0,	9223.0,	36,	4608.0,	9219.0,	36,	0.0,	9218.0,	184323,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	32320.0,	37337.0,	50176,	543.0,	32319.0,	50176,	0.0,	32798.0,	1884191,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	9225.0,	9225.0,	9,	9216.0,	9224.0,	9,	0.0,	9223.0,	101384,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	49151.0,	1081343,	65088.0,	70105.0,	50176,	1055.0,	65087.0,	50176,	0.0,	65566.0,	3768351,	
