Layer,	Cycles,	% Utilization,
Conv1,	12379,	98.63789277577368,
Conv2,	109156,	3.117694233544043,
Conv3,	25151,	99.8341643775628,
Conv4,	55872,	3.0454655283505154,
Conv5,	25119,	99.8341643775628,
Conv6,	105988,	3.095185391250814,
Conv7,	50207,	99.91703099169439,
Conv8,	27648,	2.96630859375,
Conv9,	25631,	97.85809298310639,
Conv10,	50692,	3.0005210799254307,
Conv11,	51231,	97.92900355741641,
Conv12,	13833,	2.748805984311741,
Conv13,	28703,	87.38690070506567,
Conv14,	23056,	2.8101618412491867,
Conv15,	57375,	87.44341979847493,
Conv16,	23056,	2.8101618412491867,
Conv17,	57375,	87.44341979847493,
Conv18,	23056,	2.8101618412491867,
Conv19,	57375,	87.44341979847493,
Conv20,	23056,	2.8101618412491867,
Conv21,	57375,	87.44341979847493,
Conv22,	23056,	2.8101618412491867,
Conv23,	57375,	87.44341979847493,
Conv24,	9220,	1.7571769240156199,
Conv25,	32799,	76.47146254458977,
Conv26,	9225,	0.877762833369471,
Conv27,	65567,	76.5169597510943,
