IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	0.7667602072283212,	0.004440606882940668,	2.0263969409152582,	14.607412318572427,	2.0263969409152582,
524288,	524288,	262144,	Conv2,	0.84135334878788,	0.0006036495646596716,	0.025361665737437592,	9.130809603058491,	0.025361665737437592,
524288,	524288,	262144,	Conv3,	0.8704008881641716,	0.004440820857980468,	1.7408017763283432,	14.796830277377834,	1.7408017763283432,
524288,	524288,	262144,	Conv4,	2.8938507228021138,	0.0020963444992793817,	0.011009448108194668,	7.959820063763812,	0.011009448108194668,
524288,	524288,	262144,	Conv5,	0.4610535794687078,	0.01881851344770236,	0.9221071589374156,	15.675837782208786,	0.9221071589374156,
524288,	524288,	262144,	Conv6,	0.870891876177004,	0.0024993708181100245,	0.006326532383340999,	9.11271251160732,	0.006326532383340999,
524288,	524288,	262144,	Conv7,	0.46850001283855863,	0.01912244950361464,	0.46850001283855863,	15.929008606502846,	0.46850001283855863,
524288,	524288,	262144,	Conv8,	2.613408567822407,	0.007775430449719558,	0.004920389581463158,	7.145620583292274,	0.004920389581463158,
524288,	524288,	262144,	Conv9,	0.23266683978187483,	0.07597284564306117,	0.46533367956374966,	15.821361334718254,	0.46533367956374966,
524288,	524288,	262144,	Conv10,	0.9292626237371633,	0.010667555629635802,	0.003129890453834116,	9.024765952718282,	0.003129890453834116,
524288,	524288,	262144,	Conv11,	0.2381522506541047,	0.0777640002135852,	0.2381522506541047,	16.19436135057045,	0.2381522506541047,
524288,	524288,	262144,	Conv12,	2.604516147039942,	0.032154520333826445,	0.0023585563960141793,	6.913221871772685,	0.0023585563960141793,
524288,	524288,	262144,	Conv13,	0.11599643984141111,	0.3030111081571556,	0.23199287968282223,	15.945975749309353,	0.23199287968282223,
524288,	524288,	262144,	Conv14,	1.0790305584826132,	0.04954732156297714,	0.0015483537988430357,	8.91859314853444,	0.0015483537988430357,
524288,	524288,	262144,	Conv15,	0.1173334331066608,	0.30650366199290985,	0.1173334331066608,	16.129763396907652,	0.1173334331066608,
524288,	524288,	262144,	Conv16,	1.0790305584826132,	0.04954732156297714,	0.0015483537988430357,	8.91859314853444,	0.0015483537988430357,
524288,	524288,	262144,	Conv17,	0.1173334331066608,	0.30650366199290985,	0.1173334331066608,	16.129763396907652,	0.1173334331066608,
524288,	524288,	262144,	Conv18,	1.0790305584826132,	0.04954732156297714,	0.0015483537988430357,	8.91859314853444,	0.0015483537988430357,
524288,	524288,	262144,	Conv19,	0.1173334331066608,	0.30650366199290985,	0.1173334331066608,	16.129763396907652,	0.1173334331066608,
524288,	524288,	262144,	Conv20,	1.0790305584826132,	0.04954732156297714,	0.0015483537988430357,	8.91859314853444,	0.0015483537988430357,
524288,	524288,	262144,	Conv21,	0.1173334331066608,	0.30650366199290985,	0.1173334331066608,	16.129763396907652,	0.1173334331066608,
524288,	524288,	262144,	Conv22,	1.0790305584826132,	0.04954732156297714,	0.0015483537988430357,	8.91859314853444,	0.0015483537988430357,
524288,	524288,	262144,	Conv23,	0.1173334331066608,	0.30650366199290985,	0.1173334331066608,	16.129763396907652,	0.1173334331066608,
524288,	524288,	262144,	Conv24,	2.3836914600550965,	0.12694214876033058,	0.0009917355371900827,	6.093223140495867,	0.0009917355371900827,
524288,	524288,	262144,	Conv25,	0.04860075241279644,	1.0156565402184399,	0.09720150482559288,	14.219205123535954,	0.09720150482559288,
524288,	524288,	262144,	Conv26,	2.139610251161997,	0.39298963796853015,	0.0003837789433286427,	5.108865293590892,	0.0003837789433286427,
524288,	524288,	262144,	Conv27,	0.051464781046978436,	1.083911306948607,	0.051464781046978436,	15.057131691826726,	0.051464781046978436,
