Layer,	Cycles,	% Utilization,
Conv1,	167947,	99.03849875258265,
Conv2,	435748,	12.49576158872006,
Conv3,	401415,	99.99760223210393,
Conv4,	222336,	12.244980569948186,
Conv5,	401415,	99.99760223210393,
Conv6,	420484,	12.482765355555397,
Conv7,	802823,	99.99880110559862,
Conv8,	109440,	11.990131578947368,
Conv9,	401415,	99.99760223210393,
Conv10,	195844,	12.426232364700295,
Conv11,	802823,	99.99880110559862,
Conv12,	52992,	11.480978260869565,
Conv13,	409607,	97.99796664851918,
Conv14,	82952,	12.498417740593846,
Conv15,	819207,	97.99898331557225,
Conv16,	82952,	12.498417740593846,
Conv17,	819207,	97.99898331557225,
Conv18,	82952,	12.498417740593846,
Conv19,	819207,	97.99898331557225,
Conv20,	82952,	12.498417740593846,
Conv21,	819207,	97.99898331557225,
Conv22,	82952,	12.498417740593846,
Conv23,	819207,	97.99898331557225,
Conv24,	27648,	9.375,
Conv25,	458760,	87.49837877839998,
Conv26,	18433,	7.03125,
Conv27,	917512,	87.49918938301558,
