Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	27705.0,	67133.0,	394272,	42.0,	41649.0,	394272,	0.0,	42026.0,	1379553,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	218020.0,	219229.0,	12100,	288.0,	218019.0,	12100,	0.0,	218018.0,	3920835,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	32784.0,	126145.0,	802816,	47.0,	100337.0,	802816,	0.0,	100366.0,	3311631,	
Conv4,	-52429.0,	67462.0,	794138,	-58.0,	-1.0,	576,	109441.0,	109743.0,	3025,	576.0,	109440.0,	3025,	0.0,	111167.0,	1964736,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	65492.0,	114205.0,	401408,	79.0,	100277.0,	401408,	0.0,	100366.0,	3311631,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	210820.0,	211111.0,	2916,	1152.0,	210819.0,	2916,	0.0,	210818.0,	3780867,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	131028.0,	214557.0,	401408,	143.0,	200629.0,	401408,	0.0,	200718.0,	6623247,	
Conv8,	-38720.0,	-1.0,	387200,	-116.0,	-1.0,	1152,	53001.0,	53073.0,	729,	1152.0,	53000.0,	729,	0.0,	55295.0,	950400,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	100158.0,	120228.0,	200704,	143.0,	100157.0,	200704,	0.0,	100366.0,	3311631,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	99076.0,	99143.0,	676,	2304.0,	99075.0,	676,	0.0,	99074.0,	1755651,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	200510.0,	220580.0,	200704,	271.0,	200509.0,	200704,	0.0,	200718.0,	6623247,	
Conv12,	-18663.0,	-1.0,	186624,	-231.0,	-1.0,	2304,	25353.0,	25369.0,	169,	2304.0,	25352.0,	169,	0.0,	27647.0,	444672,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	106422.0,	116457.0,	100352,	271.0,	106421.0,	100352,	0.0,	106510.0,	3416079,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	41488.0,	41502.0,	144,	4608.0,	41487.0,	144,	0.0,	41486.0,	746511,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	212918.0,	222953.0,	100352,	527.0,	212917.0,	100352,	0.0,	213006.0,	6832143,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	41488.0,	41502.0,	144,	4608.0,	41487.0,	144,	0.0,	41486.0,	746511,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	212918.0,	222953.0,	100352,	527.0,	212917.0,	100352,	0.0,	213006.0,	6832143,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	41488.0,	41502.0,	144,	4608.0,	41487.0,	144,	0.0,	41486.0,	746511,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	212918.0,	222953.0,	100352,	527.0,	212917.0,	100352,	0.0,	213006.0,	6832143,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	41488.0,	41502.0,	144,	4608.0,	41487.0,	144,	0.0,	41486.0,	746511,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	212918.0,	222953.0,	100352,	527.0,	212917.0,	100352,	0.0,	213006.0,	6832143,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	41488.0,	41502.0,	144,	4608.0,	41487.0,	144,	0.0,	41486.0,	746511,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	212918.0,	222953.0,	100352,	527.0,	212917.0,	100352,	0.0,	213006.0,	6832143,	
Conv24,	-8653.0,	-1.0,	86528,	-461.0,	-1.0,	4608,	13828.0,	13831.0,	36,	4608.0,	13827.0,	36,	0.0,	13826.0,	193539,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	131088.0,	136105.0,	50176,	527.0,	131087.0,	50176,	0.0,	131086.0,	3833871,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	9225.0,	9225.0,	9,	9216.0,	9224.0,	9,	0.0,	9223.0,	101384,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	147455.0,	1064960,	262160.0,	267177.0,	50176,	1039.0,	262159.0,	50176,	0.0,	262158.0,	7667727,	
