Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-11323.0,	-1.0,	113229,	-87.0,	-1.0,	864,	29002.0,	74929.0,	459264,	48.0,	49697.0,	788544,	0.0,	49781.0,	721974,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	218394.0,	219603.0,	12100,	33.0,	218393.0,	217800,	0.0,	218376.0,	3703176,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	29072.0,	125724.0,	987088,	48.0,	100735.0,	1605632,	0.0,	100703.0,	1708160,	
Conv4,	-52429.0,	92063.0,	1320160,	-58.0,	-1.0,	576,	111418.0,	111720.0,	3025,	33.0,	111417.0,	108900,	0.0,	111455.0,	1886112,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	64432.0,	116940.0,	412656,	48.0,	101887.0,	1605632,	0.0,	101855.0,	1714688,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	212328.0,	212619.0,	2916,	33.0,	212327.0,	209952,	0.0,	212310.0,	3571488,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	128112.0,	218828.0,	412656,	48.0,	203775.0,	3211264,	0.0,	203743.0,	3429376,	
Conv8,	-30452.0,	-1.0,	304512,	-116.0,	-1.0,	1152,	55574.0,	55646.0,	729,	33.0,	55573.0,	52488,	0.0,	55583.0,	927648,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	106496.0,	126566.0,	200704,	48.0,	106495.0,	1605632,	0.0,	106463.0,	1740800,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	102096.0,	102163.0,	676,	33.0,	102095.0,	97344,	0.0,	102078.0,	1659456,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	212992.0,	233062.0,	200704,	48.0,	212991.0,	3211264,	0.0,	212959.0,	3481600,	
Conv12,	-15386.0,	-1.0,	153856,	-231.0,	-1.0,	2304,	29088.0,	29104.0,	169,	33.0,	29087.0,	24336,	0.0,	29083.0,	450144,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	124928.0,	134963.0,	100352,	48.0,	124927.0,	1605632,	0.0,	124895.0,	1845248,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	50976.0,	50990.0,	144,	33.0,	50975.0,	41472,	0.0,	50958.0,	714240,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	249856.0,	259891.0,	100352,	48.0,	249855.0,	3211264,	0.0,	249823.0,	3690496,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	50976.0,	50990.0,	144,	33.0,	50975.0,	41472,	0.0,	50958.0,	714240,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	249856.0,	259891.0,	100352,	48.0,	249855.0,	3211264,	0.0,	249823.0,	3690496,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	50976.0,	50990.0,	144,	33.0,	50975.0,	41472,	0.0,	50958.0,	714240,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	249856.0,	259891.0,	100352,	48.0,	249855.0,	3211264,	0.0,	249823.0,	3690496,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	50976.0,	50990.0,	144,	33.0,	50975.0,	41472,	0.0,	50958.0,	714240,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	249856.0,	259891.0,	100352,	48.0,	249855.0,	3211264,	0.0,	249823.0,	3690496,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	50976.0,	50990.0,	144,	33.0,	50975.0,	41472,	0.0,	50958.0,	714240,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	249856.0,	259891.0,	100352,	48.0,	249855.0,	3211264,	0.0,	249823.0,	3690496,	
Conv24,	-7834.0,	-1.0,	78336,	-461.0,	-1.0,	4608,	19872.0,	19875.0,	36,	33.0,	19871.0,	10368,	0.0,	19860.0,	214848,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	198656.0,	203673.0,	50176,	48.0,	198655.0,	1605632,	0.0,	198623.0,	2263040,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	24192.0,	24192.0,	9,	33.0,	24191.0,	5184,	0.0,	24174.0,	106560,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	174762.0,	1048576,	397312.0,	402329.0,	50176,	48.0,	397311.0,	3211264,	0.0,	397279.0,	4526080,	
