IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	1.3127695589667485,	0.010017159022399481,	5.324676529239902,	8.370518944488245,	9.14232713444326,
524288,	524288,	262144,	Conv2,	1.5453985462609339,	0.0011087840335099175,	0.046584329185659724,	14.257022298878896,	0.8385179253418751,
524288,	524288,	262144,	Conv3,	2.4200886262924666,	0.012347390950471769,	5.951153046151991,	10.29849576462786,	9.680354505169866,
524288,	524288,	262144,	Conv4,	8.04244923819213,	0.0035090070606583045,	0.018428379094603074,	11.490243620125618,	0.6634216474057106,
524288,	524288,	262144,	Conv5,	1.464875083022531,	0.05979081971520535,	3.0118457642087133,	12.514965951638919,	11.719000664180248,
524288,	524288,	262144,	Conv6,	1.5880993828137364,	0.004557683177717993,	0.011536635543598671,	14.129957271720208,	0.8306377591391043,
524288,	524288,	262144,	Conv7,	1.5500233618695674,	0.06326625966814561,	1.5934571319347104,	13.242418976788727,	12.400186894956539,
524288,	524288,	262144,	Conv8,	3.5368068944690934,	0.013380101744523682,	0.008467095635206394,	10.774326929777695,	0.6096308857348602,
524288,	524288,	262144,	Conv9,	0.7346305324958639,	0.23987935754966985,	1.4692610649917277,	12.74359086982621,	11.754088519933822,
524288,	524288,	262144,	Conv10,	1.641965410605887,	0.01884909272379207,	0.005530376163751493,	13.576059034311239,	0.796374167580215,
524288,	524288,	262144,	Conv11,	0.7928796324461844,	0.2588994718191623,	0.7928796324461844,	13.754034440392996,	12.68607411913895,
524288,	524288,	262144,	Conv12,	3.4582153292874804,	0.05178691840863115,	0.0037986064284108788,	10.117869184086311,	0.5469993256911666,
524288,	524288,	262144,	Conv13,	0.3388644636694559,	0.8851969663202113,	0.6777289273389118,	12.461913541476724,	10.843662837422588,
524288,	524288,	262144,	Conv14,	1.64441385638908,	0.07550879952807,	0.0023596499852521877,	11.70386392685085,	0.67957919575263,
524288,	524288,	262144,	Conv15,	0.35075112021418636,	0.9162478242329766,	0.35075112021418636,	12.899051400529874,	11.224035846853964,
524288,	524288,	262144,	Conv16,	1.64441385638908,	0.07550879952807,	0.0023596499852521877,	11.70386392685085,	0.67957919575263,
524288,	524288,	262144,	Conv17,	0.35075112021418636,	0.9162478242329766,	0.35075112021418636,	12.899051400529874,	11.224035846853964,
524288,	524288,	262144,	Conv18,	1.64441385638908,	0.07550879952807,	0.0023596499852521877,	11.70386392685085,	0.67957919575263,
524288,	524288,	262144,	Conv19,	0.35075112021418636,	0.9162478242329766,	0.35075112021418636,	12.899051400529874,	11.224035846853964,
524288,	524288,	262144,	Conv20,	1.64441385638908,	0.07550879952807,	0.0023596499852521877,	11.70386392685085,	0.67957919575263,
524288,	524288,	262144,	Conv21,	0.35075112021418636,	0.9162478242329766,	0.35075112021418636,	12.899051400529874,	11.224035846853964,
524288,	524288,	262144,	Conv22,	1.64441385638908,	0.07550879952807,	0.0023596499852521877,	11.70386392685085,	0.67957919575263,
524288,	524288,	262144,	Conv23,	0.35075112021418636,	0.9162478242329766,	0.35075112021418636,	12.899051400529874,	11.224035846853964,
524288,	524288,	262144,	Conv24,	2.8270958894222096,	0.16629975820130644,	0.0012992168609477065,	7.753726226135912,	0.37417445595293947,
524288,	524288,	262144,	Conv25,	0.09796096867654294,	2.0471843249955097,	0.19592193735308588,	8.836479215312648,	6.269501995298748,
524288,	524288,	262144,	Conv26,	1.7177678877096885,	0.31550838753851423,	0.0003081136597055803,	3.6480657309140705,	0.17747346799041425,
524288,	524288,	262144,	Conv27,	0.11033560707013401,	2.3057890130574945,	0.11033560707013401,	9.9527221071427,	7.061478852488577,
