Layer,	Cycles,	% Utilization,
Conv1,	49782,	84.37813868466513,
Conv2,	218394,	6.25,
Conv3,	100736,	100.0,
Conv4,	111456,	6.25,
Conv5,	101888,	100.0,
Conv6,	212328,	6.25,
Conv7,	203776,	100.0,
Conv8,	55584,	6.25,
Conv9,	106496,	100.0,
Conv10,	102096,	6.25,
Conv11,	212992,	100.0,
Conv12,	29088,	6.25,
Conv13,	124928,	100.0,
Conv14,	50976,	6.25,
Conv15,	249856,	100.0,
Conv16,	50976,	6.25,
Conv17,	249856,	100.0,
Conv18,	50976,	6.25,
Conv19,	249856,	100.0,
Conv20,	50976,	6.25,
Conv21,	249856,	100.0,
Conv22,	50976,	6.25,
Conv23,	249856,	100.0,
Conv24,	19872,	6.25,
Conv25,	198656,	100.0,
Conv26,	24192,	6.25,
Conv27,	397312,	100.0,
