Layer,	Cycles,	% Utilization,
Conv1,	323582,	86.56454353146961,
Conv2,	1307088,	99.9724578605266,
Conv3,	545664,	100.0,
Conv4,	654408,	99.83634063153262,
Conv5,	473536,	100.0,
Conv6,	1260864,	99.88579259936043,
Conv7,	947072,	100.0,
Conv8,	316944,	99.32417083144026,
Conv9,	437472,	100.0,
Conv10,	586368,	99.50884086444007,
Conv11,	874944,	100.0,
Conv12,	150048,	97.14491362763916,
Conv13,	427872,	98.01435943459727,
Conv14,	248832,	100.0,
Conv15,	855744,	98.01435943459727,
Conv16,	248832,	100.0,
Conv17,	855744,	98.01435943459727,
Conv18,	248832,	100.0,
Conv19,	855744,	98.01435943459727,
Conv20,	248832,	100.0,
Conv21,	855744,	98.01435943459727,
Conv22,	248832,	100.0,
Conv23,	855744,	98.01435943459727,
Conv24,	66816,	91.37931034482759,
Conv25,	468608,	87.5717017208413,
Conv26,	47232,	63.71951219512195,
Conv27,	937216,	87.5717017208413,
