IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	0.4241399897651675,	0.12066867572638881,	1.1216438278273726,	5.410092682094729,	5.60451469835674,
524288,	524288,	262144,	Conv2,	0.2969273001236063,	0.32232613566511054,	0.00895054491065359,	3.2626999725565935,	2.8995504755254378,
524288,	524288,	262144,	Conv3,	0.667102085857352,	0.08673816183301508,	1.3367518725518057,	6.754408619305689,	6.003918772716168,
524288,	524288,	262144,	Conv4,	1.1244392906638008,	0.3087139746019176,	0.00427779506179823,	3.120027151624855,	2.7712984698928076,
524288,	524288,	262144,	Conv5,	0.39536991072343175,	0.06543271162801692,	0.7927550449534706,	7.561449542585632,	6.721288482298339,
524288,	524288,	262144,	Conv6,	0.3080162430440668,	0.3226509433672702,	0.0022375621928723364,	3.2633049008443806,	2.8981126515879323,
524288,	524288,	262144,	Conv7,	0.40091006969344073,	0.06634959380449482,	0.40193180070352624,	7.667405082887054,	6.815471184788493,
524288,	524288,	262144,	Conv8,	1.0884445531389764,	0.29792796363605695,	0.002049266733570025,	2.99385219979929,	2.653016132704779,
524288,	524288,	262144,	Conv9,	0.2146204170845996,	0.09663393779446895,	0.4292408341691992,	7.96778298426576,	7.082473763791787,
524288,	524288,	262144,	Conv10,	0.33091786244841365,	0.3228981693533628,	0.001114579056795717,	3.2541487567332283,	2.881391311229714,
524288,	524288,	262144,	Conv11,	0.2193280194429813,	0.0987535597747097,	0.2193280194429813,	8.142552721820682,	7.237824641618383,
524288,	524288,	262144,	Conv12,	1.1060641979991466,	0.3004124982219904,	0.001001612062016974,	2.946090749608838,	2.584230240386895,
524288,	524288,	262144,	Conv13,	0.11109979407922414,	0.30382392666563335,	0.22219958815844829,	8.287704536899675,	7.220352943781414,
524288,	524288,	262144,	Conv14,	0.38763456851164424,	0.32039183723921616,	0.0005562358285403059,	3.2439673520470635,	2.8835265351529453,
524288,	524288,	262144,	Conv15,	0.11234807842153816,	0.3072376022140023,	0.11234807842153816,	8.380822727557701,	7.301478688436495,
524288,	524288,	262144,	Conv16,	0.38763456851164424,	0.32039183723921616,	0.0005562358285403059,	3.2439673520470635,	2.8835265351529453,
524288,	524288,	262144,	Conv17,	0.11234807842153816,	0.3072376022140023,	0.11234807842153816,	8.380822727557701,	7.301478688436495,
524288,	524288,	262144,	Conv18,	0.38763456851164424,	0.32039183723921616,	0.0005562358285403059,	3.2439673520470635,	2.8835265351529453,
524288,	524288,	262144,	Conv19,	0.11234807842153816,	0.3072376022140023,	0.11234807842153816,	8.380822727557701,	7.301478688436495,
524288,	524288,	262144,	Conv20,	0.38763456851164424,	0.32039183723921616,	0.0005562358285403059,	3.2439673520470635,	2.8835265351529453,
524288,	524288,	262144,	Conv21,	0.11234807842153816,	0.3072376022140023,	0.11234807842153816,	8.380822727557701,	7.301478688436495,
524288,	524288,	262144,	Conv22,	0.38763456851164424,	0.32039183723921616,	0.0005562358285403059,	3.2439673520470635,	2.8835265351529453,
524288,	524288,	262144,	Conv23,	0.11234807842153816,	0.3072376022140023,	0.11234807842153816,	8.380822727557701,	7.301478688436495,
524288,	524288,	262144,	Conv24,	1.1464762232851484,	0.3052747340108383,	0.0004769917718919349,	2.846686894651067,	2.350615451883455,
524288,	524288,	262144,	Conv25,	0.047690830806664704,	6.883067359876819,	0.09538166161332941,	7.903051962247294,	6.151265552081056,
524288,	524288,	262144,	Conv26,	0.9602878413810262,	0.35275879887466266,	0.00017224550726301888,	2.33702704254464,	1.631509444795315,
524288,	524288,	262144,	Conv27,	0.050445226172080394,	7.379415942887189,	0.050445226172080394,	8.359494622801893,	6.506533368588155,
