Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-4245.0,	-1.0,	42444,	214885.0,	336821.0,	394527,	16.0,	323582.0,	1971332,	0.0,	323578.0,	1902946,	
Conv2,	-40141.0,	-1.0,	401408,	-43575.0,	-1.0,	435744,	1307089.0,	1308298.0,	12100,	16.0,	1307088.0,	3919824,	0.0,	1307076.0,	4410756,	
Conv3,	-40141.0,	-1.0,	401408,	-5220.0,	-1.0,	52192,	177915.0,	561578.0,	804349,	16.0,	545664.0,	3612672,	0.0,	545648.0,	4064256,	
Conv4,	-52429.0,	270847.0,	795136,	-21831.0,	-1.0,	218304,	654409.0,	654711.0,	3025,	16.0,	654408.0,	1959696,	0.0,	654399.0,	2206296,	
Conv5,	-20071.0,	-1.0,	200704,	-3322.0,	-1.0,	33216,	308191.0,	487565.0,	402431,	16.0,	473536.0,	3411968,	0.0,	473520.0,	3838464,	
Conv6,	-40141.0,	-1.0,	401408,	-42048.0,	-1.0,	420480,	1260865.0,	1261156.0,	2916,	16.0,	1260864.0,	3776832,	0.0,	1260852.0,	4252752,	
Conv7,	-40141.0,	-1.0,	401408,	-6644.0,	-1.0,	66432,	616231.0,	961101.0,	402431,	16.0,	947072.0,	6823936,	0.0,	947056.0,	7676928,	
Conv8,	-38720.0,	-1.0,	387200,	-10599.0,	-1.0,	105984,	316945.0,	317017.0,	729,	16.0,	316944.0,	943776,	0.0,	316935.0,	1065024,	
Conv9,	-10036.0,	-1.0,	100352,	-4519.0,	-1.0,	45184,	437473.0,	457543.0,	200704,	16.0,	437472.0,	3311616,	0.0,	437456.0,	3725568,	
Conv10,	-20071.0,	-1.0,	200704,	-19584.0,	-1.0,	195840,	586369.0,	586436.0,	676,	16.0,	586368.0,	1747584,	0.0,	586356.0,	1973664,	
Conv11,	-20071.0,	-1.0,	200704,	-9037.0,	-1.0,	90368,	874945.0,	895015.0,	200704,	16.0,	874944.0,	6623232,	0.0,	874928.0,	7451136,	
Conv12,	-18663.0,	-1.0,	186624,	-5069.0,	-1.0,	50688,	150049.0,	150065.0,	169,	16.0,	150048.0,	436032,	0.0,	150039.0,	497088,	
Conv13,	-5018.0,	-1.0,	50176,	-13722.0,	-1.0,	137216,	427873.0,	437908.0,	100352,	16.0,	427872.0,	3260928,	0.0,	427860.0,	3742976,	
Conv14,	-10036.0,	-1.0,	100352,	-8295.0,	-1.0,	82944,	248833.0,	248847.0,	144,	16.0,	248832.0,	746496,	0.0,	248816.0,	839808,	
Conv15,	-10036.0,	-1.0,	100352,	-27444.0,	-1.0,	274432,	855745.0,	865780.0,	100352,	16.0,	855744.0,	6521856,	0.0,	855732.0,	7485952,	
Conv16,	-10036.0,	-1.0,	100352,	-8295.0,	-1.0,	82944,	248833.0,	248847.0,	144,	16.0,	248832.0,	746496,	0.0,	248816.0,	839808,	
Conv17,	-10036.0,	-1.0,	100352,	-27444.0,	-1.0,	274432,	855745.0,	865780.0,	100352,	16.0,	855744.0,	6521856,	0.0,	855732.0,	7485952,	
Conv18,	-10036.0,	-1.0,	100352,	-8295.0,	-1.0,	82944,	248833.0,	248847.0,	144,	16.0,	248832.0,	746496,	0.0,	248816.0,	839808,	
Conv19,	-10036.0,	-1.0,	100352,	-27444.0,	-1.0,	274432,	855745.0,	865780.0,	100352,	16.0,	855744.0,	6521856,	0.0,	855732.0,	7485952,	
Conv20,	-10036.0,	-1.0,	100352,	-8295.0,	-1.0,	82944,	248833.0,	248847.0,	144,	16.0,	248832.0,	746496,	0.0,	248816.0,	839808,	
Conv21,	-10036.0,	-1.0,	100352,	-27444.0,	-1.0,	274432,	855745.0,	865780.0,	100352,	16.0,	855744.0,	6521856,	0.0,	855732.0,	7485952,	
Conv22,	-10036.0,	-1.0,	100352,	-8295.0,	-1.0,	82944,	248833.0,	248847.0,	144,	16.0,	248832.0,	746496,	0.0,	248816.0,	839808,	
Conv23,	-10036.0,	-1.0,	100352,	-27444.0,	-1.0,	274432,	855745.0,	865780.0,	100352,	16.0,	855744.0,	6521856,	0.0,	855732.0,	7485952,	
Conv24,	-8653.0,	-1.0,	86528,	-2304.0,	-1.0,	23040,	66817.0,	66820.0,	36,	16.0,	66816.0,	177408,	0.0,	66804.0,	214848,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	408136.0,	3620872,	468609.0,	473626.0,	50176,	16.0,	468608.0,	3235904,	0.0,	468599.0,	4157440,	
Conv26,	-5018.0,	-1.0,	50176,	-1844.0,	-1.0,	18432,	47233.0,	47233.0,	9,	16.0,	47232.0,	85248,	0.0,	47223.0,	122112,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	869639.0,	7340032,	937217.0,	942234.0,	50176,	16.0,	937216.0,	6471808,	0.0,	937207.0,	8314880,	
