Layer,	Cycles,	% Utilization,
Conv1,	45131,	84.21924248991823,
Conv2,	327204,	99.83634063153262,
Conv3,	62328,	100.0,
Conv4,	163890,	99.58299011532125,
Conv5,	43708,	100.0,
Conv6,	316944,	99.32417083144026,
Conv7,	87416,	100.0,
Conv8,	79236,	99.11545888232621,
Conv9,	35036,	98.08768124215092,
Conv10,	150048,	97.14491362763916,
Conv11,	70072,	98.08768124215092,
Conv12,	39816,	90.51198010849909,
Conv13,	33768,	87.99751243781094,
Conv14,	66816,	91.37931034482759,
Conv15,	67536,	87.99751243781094,
Conv16,	66816,	91.37931034482759,
Conv17,	67536,	87.99751243781094,
Conv18,	66816,	91.37931034482759,
Conv19,	67536,	87.99751243781094,
Conv20,	66816,	91.37931034482759,
Conv21,	67536,	87.99751243781094,
Conv22,	66816,	91.37931034482759,
Conv23,	67536,	87.99751243781094,
Conv24,	23616,	63.71951219512195,
Conv25,	35568,	76.72064777327935,
Conv26,	21024,	28.125,
Conv27,	71136,	76.72064777327935,
