IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	1.7697362958042206,	0.01024923190073429,	4.677066157368415,	8.172635499827994,	9.353764576092242,
524288,	524288,	262144,	Conv2,	1.0891400198070844,	0.2961620382303862,	0.03283092075809581,	10.056884318487064,	9.748048459524359,
524288,	524288,	262144,	Conv3,	3.1105084115336035,	0.015869940875171445,	6.221016823067207,	9.623135398182086,	9.33152523460081,
524288,	524288,	262144,	Conv4,	3.6567292334111956,	0.2526059218361939,	0.013964417279870004,	8.55661013193489,	8.273674880667707,
524288,	524288,	262144,	Conv5,	2.256546327423181,	0.16190144249688002,	4.559133377556413,	11.635317000775778,	11.282731637115905,
524288,	524288,	262144,	Conv6,	1.1232060261292696,	0.2965607747560699,	0.008159450664144587,	10.00207623881783,	9.68214518561631,
524288,	524288,	262144,	Conv7,	2.8289485739254228,	0.20296984347360336,	2.8578083485443257,	14.58676608430296,	14.144742869627114,
524288,	524288,	262144,	Conv8,	3.280549695413839,	0.22448720229774038,	0.006176448161045167,	7.571257911191317,	7.284243702818799,
524288,	524288,	262144,	Conv9,	1.5404878498073469,	0.5501742320740525,	3.0809756996146938,	14.558003162273767,	13.848671384492578,
524288,	524288,	262144,	Conv10,	1.1793145187352736,	0.29783708508875534,	0.00397210127683078,	9.756702920904653,	9.390329461122178,
524288,	524288,	262144,	Conv11,	1.8210390694467127,	0.6503710962309689,	1.8210390694467127,	17.209283757054457,	16.37076959369953,
524288,	524288,	262144,	Conv12,	3.1903719912472646,	0.2363238512035011,	0.002889086433260394,	7.136487964989059,	6.6096827133479215,
524288,	524288,	262144,	Conv13,	0.8792780162972049,	2.323806185928327,	1.7585560325944098,	17.491351967055113,	14.932024883904319,
524288,	524288,	262144,	Conv14,	1.3055277297149621,	0.2997385093733332,	0.0018733656835833322,	9.241312917116579,	8.422652113390662,
524288,	524288,	262144,	Conv15,	0.9640517224816032,	2.547850980844237,	0.9640517224816032,	19.177743193651892,	16.371664072857225,
524288,	524288,	262144,	Conv16,	1.3055277297149621,	0.2997385093733332,	0.0018733656835833322,	9.241312917116579,	8.422652113390662,
524288,	524288,	262144,	Conv17,	0.9640517224816032,	2.547850980844237,	0.9640517224816032,	19.177743193651892,	16.371664072857225,
524288,	524288,	262144,	Conv18,	1.3055277297149621,	0.2997385093733332,	0.0018733656835833322,	9.241312917116579,	8.422652113390662,
524288,	524288,	262144,	Conv19,	0.9640517224816032,	2.547850980844237,	0.9640517224816032,	19.177743193651892,	16.371664072857225,
524288,	524288,	262144,	Conv20,	1.3055277297149621,	0.2997385093733332,	0.0018733656835833322,	9.241312917116579,	8.422652113390662,
524288,	524288,	262144,	Conv21,	0.9640517224816032,	2.547850980844237,	0.9640517224816032,	19.177743193651892,	16.371664072857225,
524288,	524288,	262144,	Conv22,	1.3055277297149621,	0.2997385093733332,	0.0018733656835833322,	9.241312917116579,	8.422652113390662,
524288,	524288,	262144,	Conv23,	0.9640517224816032,	2.547850980844237,	0.9640517224816032,	19.177743193651892,	16.371664072857225,
524288,	524288,	262144,	Conv24,	2.6811266383664365,	0.2855637839680228,	0.001115483531125089,	5.7201995476094565,	4.8010411179623835,
524288,	524288,	262144,	Conv25,	0.26971993764446595,	10.921249260871903,	0.5394398752889319,	11.906208676019997,	8.856894049346879,
524288,	524288,	262144,	Conv26,	1.9266597550205429,	0.35387628153438544,	0.0003455823061859233,	3.9036977306761895,	0.9952770418154591,
524288,	524288,	262144,	Conv27,	0.3902226577385813,	16.309714347930907,	0.3902226577385813,	17.22554303446023,	12.813886750192482,
