Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	8278.0,	47706.0,	394272,	86.0,	12406.0,	394272,	0.0,	12347.0,	345879,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	109485.0,	110694.0,	12100,	65.0,	109484.0,	108900,	0.0,	109451.0,	3594276,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	8288.0,	52626.0,	802816,	96.0,	25279.0,	802816,	0.0,	25215.0,	830016,	
Conv4,	-52429.0,	46189.0,	1320160,	-58.0,	-1.0,	576,	55994.0,	56296.0,	3025,	65.0,	55993.0,	54450,	0.0,	56015.0,	1830672,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	14944.0,	61227.0,	462816,	96.0,	25855.0,	802816,	0.0,	25791.0,	836352,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	107316.0,	107607.0,	2916,	65.0,	107315.0,	104976,	0.0,	107282.0,	3466512,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	27872.0,	74155.0,	462816,	96.0,	51711.0,	1605632,	0.0,	51647.0,	1672704,	
Conv8,	-30452.0,	-1.0,	304512,	-116.0,	-1.0,	1152,	28584.0,	28656.0,	729,	65.0,	28583.0,	26244,	0.0,	28577.0,	900432,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	28160.0,	48230.0,	200704,	96.0,	28159.0,	802816,	0.0,	28095.0,	861696,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	53352.0,	53419.0,	676,	65.0,	53351.0,	48672,	0.0,	53318.0,	1610784,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	56320.0,	76390.0,	200704,	96.0,	56319.0,	1605632,	0.0,	56255.0,	1723392,	
Conv12,	-15386.0,	-1.0,	153856,	-231.0,	-1.0,	2304,	16848.0,	16864.0,	169,	65.0,	16847.0,	12168,	0.0,	16827.0,	437040,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	37376.0,	47411.0,	100352,	96.0,	37375.0,	802816,	0.0,	37311.0,	963072,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	30096.0,	30110.0,	144,	65.0,	30095.0,	20736,	0.0,	30062.0,	693504,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	74752.0,	84787.0,	100352,	96.0,	74751.0,	1605632,	0.0,	74687.0,	1926144,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	30096.0,	30110.0,	144,	65.0,	30095.0,	20736,	0.0,	30062.0,	693504,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	74752.0,	84787.0,	100352,	96.0,	74751.0,	1605632,	0.0,	74687.0,	1926144,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	30096.0,	30110.0,	144,	65.0,	30095.0,	20736,	0.0,	30062.0,	693504,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	74752.0,	84787.0,	100352,	96.0,	74751.0,	1605632,	0.0,	74687.0,	1926144,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	30096.0,	30110.0,	144,	65.0,	30095.0,	20736,	0.0,	30062.0,	693504,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	74752.0,	84787.0,	100352,	96.0,	74751.0,	1605632,	0.0,	74687.0,	1926144,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	30096.0,	30110.0,	144,	65.0,	30095.0,	20736,	0.0,	30062.0,	693504,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	74752.0,	84787.0,	100352,	96.0,	74751.0,	1605632,	0.0,	74687.0,	1926144,	
Conv24,	-7834.0,	-1.0,	78336,	-461.0,	-1.0,	4608,	14544.0,	14547.0,	36,	65.0,	14543.0,	5184,	0.0,	14516.0,	208800,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	74240.0,	79257.0,	50176,	96.0,	74239.0,	802816,	0.0,	74175.0,	1368576,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	21312.0,	21312.0,	9,	65.0,	21311.0,	2592,	0.0,	21278.0,	103968,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	65535.0,	1048576,	148480.0,	153497.0,	50176,	96.0,	148479.0,	1605632,	0.0,	148415.0,	2737152,	
