Layer,	Cycles,	% Utilization,
Conv1,	12407,	84.375,
Conv2,	109485,	3.125,
Conv3,	25280,	100.0,
Conv4,	56016,	3.125,
Conv5,	25856,	100.0,
Conv6,	107316,	3.125,
Conv7,	51712,	100.0,
Conv8,	28584,	3.125,
Conv9,	28160,	100.0,
Conv10,	53352,	3.125,
Conv11,	56320,	100.0,
Conv12,	16848,	3.125,
Conv13,	37376,	100.0,
Conv14,	30096,	3.125,
Conv15,	74752,	100.0,
Conv16,	30096,	3.125,
Conv17,	74752,	100.0,
Conv18,	30096,	3.125,
Conv19,	74752,	100.0,
Conv20,	30096,	3.125,
Conv21,	74752,	100.0,
Conv22,	30096,	3.125,
Conv23,	74752,	100.0,
Conv24,	14544,	3.125,
Conv25,	74240,	100.0,
Conv26,	21312,	3.125,
Conv27,	148480,	100.0,
