Layer,	Cycles,	% Utilization,
Conv1,	12407,	5.2734375,
Conv2,	36879,	0.5879711777027576,
Conv3,	12672,	12.5,
Conv4,	16282,	0.7055817006510257,
Conv5,	3392,	50.0,
Conv6,	28557,	0.78125,
Conv7,	3520,	100.0,
Conv8,	8874,	0.78125,
Conv9,	2336,	100.0,
Conv10,	16794,	0.78125,
Conv11,	4672,	100.0,
Conv12,	7668,	0.78125,
Conv13,	4640,	100.0,
Conv14,	14436,	0.78125,
Conv15,	9280,	100.0,
Conv16,	14436,	0.78125,
Conv17,	9280,	100.0,
Conv18,	14436,	0.78125,
Conv19,	9280,	100.0,
Conv20,	14436,	0.78125,
Conv21,	9280,	100.0,
Conv22,	14436,	0.78125,
Conv23,	9280,	100.0,
Conv24,	10548,	0.78125,
Conv25,	13856,	100.0,
Conv26,	19152,	0.78125,
Conv27,	27712,	100.0,
